,accuracy,f1_score,precision,recall,ml_framework,transfer_learning,deep_learning,model_type,depth,num_params,embedding_layers,conv1d_layers,maxpooling1d_layers,simplernn_layers,dropout_layers,flatten_layers,lstm_layers,inputlayer_layers,concatenate_layers,bidirectional_layers,globalmaxpooling1d_layers,timedistributed_layers,globalaveragepooling1d_layers,dense_layers,batchnormalization_layers,sigmoid_act,softmax_act,tanh_act,relu_act,loss,optimizer,memory_size,team,username,timestamp,version
387,0.5005488474204172,0.3335771762984638,0.2502744237102086,0.5,keras,True,True,Sequential,4.0,1320065.0,1.0,,,,,1.0,,,,,,,,2.0,,1.0,,,1.0,str,RMSprop,5281008.0,7.0,lprockop,2023-04-17 01:47:21.451300,259
388,0.5005488474204172,0.3335771762984638,0.2502744237102086,0.5,keras,,True,Sequential,10.0,407106.0,1.0,2.0,,,2.0,,,,,,1.0,,,3.0,1.0,,1.0,,4.0,str,RMSprop,1630432.0,,rc3434,2023-04-18 15:46:08.816787,403
389,0.5005488474204172,0.3335771762984638,0.2502744237102086,0.5,keras,,True,Sequential,6.0,366082.0,1.0,,,,2.0,,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,1465632.0,,sairachawla,2023-04-16 16:28:41.996859,204
390,0.5005488474204172,0.3335771762984638,0.2502744237102086,0.5,keras,,True,Sequential,6.0,89057.0,1.0,2.0,1.0,,,,,,,,1.0,,,1.0,,,,,2.0,str,RMSprop,357248.0,,xuenricky,2023-04-17 22:36:51.805962,319
391,0.5005488474204172,0.3335771762984638,0.2502744237102086,0.5,keras,True,True,Sequential,4.0,1320065.0,1.0,,,,,1.0,,,,,,,,2.0,,1.0,,,1.0,str,RMSprop,5281008.0,7.0,lprockop,2023-04-12 14:42:55.014930,57
392,0.5005488474204172,0.3335771762984638,0.2502744237102086,0.5,keras,True,True,Sequential,4.0,1320065.0,1.0,,,,,1.0,,,,,,,,2.0,,1.0,,,1.0,str,RMSprop,5281008.0,7.0,lprockop,2023-04-17 01:27:20.089750,255
393,0.5005488474204172,0.3335771762984638,0.2502744237102086,0.5,keras,,True,Sequential,4.0,1320065.0,1.0,,,,,1.0,,,,,,,,2.0,,1.0,,,1.0,str,RMSprop,5281008.0,7.0,lprockop,2023-04-12 14:24:29.817267,54
394,0.4961580680570801,0.339192616765568,0.4307070707070707,0.496693657219973,keras,,True,Sequential,10.0,178178.0,1.0,6.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,6.0,,NoneType,714816.0,,arushisaranath,2023-04-18 16:08:07.703991,404
395,0.4994511525795829,0.3330893118594436,0.2497255762897914,0.5,keras,,True,Sequential,7.0,2062866.0,1.0,3.0,1.0,,,,,,,,1.0,,,1.0,,,1.0,,3.0,str,RMSprop,8252800.0,,so2638,2023-04-15 20:09:05.071135,177
396,0.4994511525795829,0.3330893118594436,0.2497255762897914,0.5,keras,,True,Sequential,10.0,178178.0,1.0,6.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,6.0,str,RMSprop,714816.0,,arushisaranath,2023-04-18 16:14:56.672783,405
