,accuracy,f1_score,precision,recall,ml_framework,deep_learning,model_type,depth,num_params,flatten_layers,batchnormalization_layers,dropout_layers,dense_layers,sigmoid_act,relu_act,tanh_act,softmax_act,loss,optimizer,memory_size,team,username,timestamp,version
299,0.4705882352941176,0.4468686868686868,0.5957575757575757,0.4921428571428571,keras,True,Sequential,6.0,406805.0,,,,6.0,,3.0,,1.0,str,SGD,1628768.0,6,francesyang,2023-02-04 20:11:05.374431,285
300,0.4705882352941176,0.4365300059417706,0.6121568627450981,0.5071428571428571,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,sdp2158,2023-02-03 00:09:21.851246,176
301,0.4705882352941176,0.429043062200957,0.6333333333333333,0.5071428571428571,sklearn,,LogisticRegression,,130.0,,,,,,,,,,lbfgs,,,Rochuz,2023-02-07 18:56:51.223961,795
302,0.4705882352941176,0.4169565217391304,0.6828282828282828,0.5071428571428571,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,vincent,2023-02-05 19:26:15.209658,396
303,0.4411764705882353,0.437124183006536,0.6283333333333333,0.4442857142857143,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,2,ivster,2023-02-07 05:46:53.029169,625
304,0.4411764705882353,0.437124183006536,0.6283333333333333,0.4442857142857143,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,6,sdp2158,2023-02-06 15:13:35.745189,461
305,0.4411764705882353,0.437124183006536,0.6283333333333333,0.4442857142857143,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,7.0,lprockop,2023-02-03 19:31:15.663887,230
306,0.4411764705882353,0.437124183006536,0.6283333333333333,0.4442857142857143,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,1,sm_5271,2023-02-07 19:05:31.927139,804
307,0.4411764705882353,0.437124183006536,0.6283333333333333,0.4442857142857143,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,1,sm_5271,2023-02-07 19:28:17.455512,824
308,0.4411764705882353,0.4349953314659197,0.6281385281385281,0.4442857142857143,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,,hal2148,2023-02-05 23:54:06.658771,424
309,0.4411764705882353,0.4349953314659197,0.6281385281385281,0.4442857142857143,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,8,hal2148,2023-02-05 23:54:40.051561,425
310,0.4411764705882353,0.4198834498834499,0.6588235294117647,0.4785714285714285,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,9,sofiazaidman,2023-02-05 22:31:28.450830,409
311,0.4705882352941176,0.4619377990430622,0.5549206349206349,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,eminilkay,2023-02-07 03:11:56.628368,589
312,0.4705882352941176,0.4619377990430622,0.5549206349206349,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,xilin0323,2023-02-03 19:12:00.385406,228
313,0.4705882352941176,0.4287878787878788,0.6090909090909091,0.5071428571428571,keras,True,Sequential,3.0,1430.0,,,,3.0,,2.0,,1.0,str,SGD,6552.0,8,hal2148,2023-02-06 19:40:04.796802,511
314,0.4705882352941176,0.4334290271132376,0.6033333333333333,0.4957142857142857,sklearn,,LogisticRegression,,130.0,,,,,,,,,,liblinear,,,hal2148,2023-02-07 02:57:01.913451,578
315,0.4705882352941176,0.4334290271132376,0.6033333333333333,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,arushisaranath,2023-02-06 18:06:57.089608,474
316,0.4705882352941176,0.4334290271132376,0.6033333333333333,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,arushisaranath,2023-02-06 18:07:30.500411,475
317,0.4705882352941176,0.4334290271132376,0.6033333333333333,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,6,cj2733,2023-02-06 05:11:37.828028,448
